frequency,geographical_region,age_group,sex,time_period,observation_value
Annual,Maltese Islands,Total,Total,2018,492968
Annual,Maltese Islands,Total,Total,2019,514855
Annual,Maltese Islands,Total,Total,2020,516125
Annual,Maltese Islands,Total,Total,2021,520174
Annual,Maltese Islands,Total,Total,2022,542051
Annual,Maltese Islands,Total,Total,2023,563443
Annual,Maltese Islands,55 - 59 years,Males,2018,15858
Annual,Maltese Islands,55 - 59 years,Males,2019,16025
Annual,Maltese Islands,55 - 59 years,Males,2020,15592
Annual,Maltese Islands,55 - 59 years,Males,2021,15167
Annual,Maltese Islands,55 - 59 years,Males,2022,14789
Annual,Maltese Islands,55 - 59 years,Males,2023,14790
Annual,Maltese Islands,65 - 69 years,Total,2018,28438
Annual,Maltese Islands,65 - 69 years,Total,2019,28269
Annual,Maltese Islands,65 - 69 years,Total,2020,28051
Annual,Maltese Islands,65 - 69 years,Total,2021,28484
Annual,Maltese Islands,65 - 69 years,Total,2022,29115
Annual,Maltese Islands,65 - 69 years,Total,2023,29578
Annual,Maltese Islands,15 - 64 years,Females,2018,159460
Annual,Maltese Islands,15 - 64 years,Females,2019,165120
Annual,Maltese Islands,15 - 64 years,Females,2020,164412
Annual,Maltese Islands,15 - 64 years,Females,2021,164417
Annual,Maltese Islands,15 - 64 years,Females,2022,169877
Annual,Maltese Islands,15 - 64 years,Females,2023,175743
Annual,Maltese Islands,30 - 34 years,Males,2018,22784
Annual,Maltese Islands,30 - 34 years,Males,2019,25398
Annual,Maltese Islands,30 - 34 years,Males,2020,25704
Annual,Maltese Islands,30 - 34 years,Males,2021,26336
Annual,Maltese Islands,30 - 34 years,Males,2022,29453
Annual,Maltese Islands,30 - 34 years,Males,2023,32258
Annual,Maltese Islands,30 - 34 years,Females,2018,19860
Annual,Maltese Islands,30 - 34 years,Females,2019,21594
Annual,Maltese Islands,30 - 34 years,Females,2020,22011
Annual,Maltese Islands,30 - 34 years,Females,2021,22217
Annual,Maltese Islands,30 - 34 years,Females,2022,23390
Annual,Maltese Islands,30 - 34 years,Females,2023,24521
Annual,Maltese Islands,45 - 49 years,Total,2018,30513
Annual,Maltese Islands,45 - 49 years,Total,2019,33019
Annual,Maltese Islands,45 - 49 years,Total,2020,34342
Annual,Maltese Islands,45 - 49 years,Total,2021,35531
Annual,Maltese Islands,45 - 49 years,Total,2022,37457
Annual,Maltese Islands,45 - 49 years,Total,2023,39339
Annual,Maltese Islands,Total,Females,2018,240787
Annual,Maltese Islands,Total,Females,2019,248296
Annual,Maltese Islands,Total,Females,2020,248511
Annual,Maltese Islands,Total,Females,2021,249705
Annual,Maltese Islands,Total,Females,2022,257230
Annual,Maltese Islands,Total,Females,2023,264697
Annual,Maltese Islands,10 - 14 years,Males,2018,11174
Annual,Maltese Islands,10 - 14 years,Males,2019,11467
Annual,Maltese Islands,10 - 14 years,Males,2020,11484
Annual,Maltese Islands,10 - 14 years,Males,2021,11650
Annual,Maltese Islands,10 - 14 years,Males,2022,11915
Annual,Maltese Islands,10 - 14 years,Males,2023,12008
Annual,Maltese Islands,10 - 14 years,Females,2018,10309
Annual,Maltese Islands,10 - 14 years,Females,2019,10606
Annual,Maltese Islands,10 - 14 years,Females,2020,10666
Annual,Maltese Islands,10 - 14 years,Females,2021,10927
Annual,Maltese Islands,10 - 14 years,Females,2022,11272
Annual,Maltese Islands,10 - 14 years,Females,2023,11285
Annual,Maltese Islands,20 - 24 years,Total,2018,31208
Annual,Maltese Islands,20 - 24 years,Total,2019,32284
Annual,Maltese Islands,20 - 24 years,Total,2020,30736
Annual,Maltese Islands,20 - 24 years,Total,2021,29447
Annual,Maltese Islands,20 - 24 years,Total,2022,30742
Annual,Maltese Islands,20 - 24 years,Total,2023,31883
Annual,Maltese Islands,85 - 89 years,Males,2018,2104
Annual,Maltese Islands,85 - 89 years,Males,2019,2244
Annual,Maltese Islands,85 - 89 years,Males,2020,2400
Annual,Maltese Islands,85 - 89 years,Males,2021,2568
Annual,Maltese Islands,85 - 89 years,Males,2022,2725
Annual,Maltese Islands,85 - 89 years,Males,2023,2850
Annual,Maltese Islands,85 - 89 years,Females,2018,4066
Annual,Maltese Islands,85 - 89 years,Females,2019,4184
Annual,Maltese Islands,85 - 89 years,Females,2020,4325
Annual,Maltese Islands,85 - 89 years,Females,2021,4418
Annual,Maltese Islands,85 - 89 years,Females,2022,4518
Annual,Maltese Islands,85 - 89 years,Females,2023,4640
Annual,Maltese Islands,100 years and over,Total,2018,44
Annual,Maltese Islands,100 years and over,Total,2019,60
Annual,Maltese Islands,100 years and over,Total,2020,58
Annual,Maltese Islands,100 years and over,Total,2021,56
Annual,Maltese Islands,100 years and over,Total,2022,54
Annual,Maltese Islands,100 years and over,Total,2023,64
Annual,Malta,0 - 4 years,Total,2018,21125
Annual,Malta,0 - 4 years,Total,2019,21408
Annual,Malta,0 - 4 years,Total,2020,21062
Annual,Malta,0 - 4 years,Total,2021,20689
Annual,Malta,0 - 4 years,Total,2022,20914
Annual,Malta,0 - 4 years,Total,2023,20805
Annual,Malta,65 years and over,Males,2018,37680
Annual,Malta,65 years and over,Males,2019,38915
Annual,Malta,65 years and over,Males,2020,40000
Annual,Malta,65 years and over,Males,2021,41172
Annual,Malta,65 years and over,Males,2022,42518
Annual,Malta,65 years and over,Males,2023,43733
Annual,Malta,65 years and over,Females,2018,44905
Annual,Malta,65 years and over,Females,2019,46042
Annual,Malta,65 years and over,Females,2020,46966
Annual,Malta,65 years and over,Females,2021,48067
Annual,Malta,65 years and over,Females,2022,49346
Annual,Malta,65 years and over,Females,2023,50502
Annual,Malta,75 - 79 years,Total,2018,12809
Annual,Malta,75 - 79 years,Total,2019,14595
Annual,Malta,75 - 79 years,Total,2020,16255
Annual,Malta,75 - 79 years,Total,2021,18483
Annual,Malta,75 - 79 years,Total,2022,20968
Annual,Malta,75 - 79 years,Total,2023,22623
Annual,Malta,80 - 84 years,Males,2018,4292
Annual,Malta,80 - 84 years,Males,2019,4451
Annual,Malta,80 - 84 years,Males,2020,4417
Annual,Malta,80 - 84 years,Males,2021,4242
Annual,Malta,80 - 84 years,Males,2022,4142
Annual,Malta,80 - 84 years,Males,2023,4359
Annual,Gozo,40 - 44 years,Females,2018,1039
Annual,Gozo,40 - 44 years,Females,2019,1081
Annual,Gozo,40 - 44 years,Females,2020,1107
Annual,Gozo,40 - 44 years,Females,2021,1136
Annual,Gozo,40 - 44 years,Females,2022,1187
Annual,Gozo,40 - 44 years,Females,2023,1255
Annual,Gozo,55 - 59 years,Total,2018,2734
Annual,Gozo,55 - 59 years,Total,2019,2794
Annual,Gozo,55 - 59 years,Total,2020,2746
Annual,Gozo,55 - 59 years,Total,2021,2732
Annual,Gozo,55 - 59 years,Total,2022,2600
Annual,Gozo,55 - 59 years,Total,2023,2481
Annual,Gozo,60 - 64 years,Males,2018,1293
Annual,Gozo,60 - 64 years,Males,2019,1365
Annual,Gozo,60 - 64 years,Males,2020,1384
Annual,Gozo,60 - 64 years,Males,2021,1456
Annual,Gozo,60 - 64 years,Males,2022,1487
Annual,Gozo,60 - 64 years,Males,2023,1491
Annual,Maltese Islands,0 - 14 years,Males,2018,34528
Annual,Maltese Islands,0 - 14 years,Males,2019,35282
Annual,Maltese Islands,0 - 14 years,Males,2020,35245
Annual,Maltese Islands,0 - 14 years,Males,2021,35171
Annual,Maltese Islands,0 - 14 years,Males,2022,35684
Annual,Maltese Islands,0 - 14 years,Males,2023,35884
Annual,Maltese Islands,50 - 54 years,Total,2018,28250
Annual,Maltese Islands,50 - 54 years,Total,2019,28734
Annual,Maltese Islands,50 - 54 years,Total,2020,28929
Annual,Maltese Islands,50 - 54 years,Total,2021,29727
Annual,Maltese Islands,50 - 54 years,Total,2022,31153
Annual,Maltese Islands,50 - 54 years,Total,2023,32257
Annual,Maltese Islands,70 - 74 years,Males,2018,13275
Annual,Maltese Islands,70 - 74 years,Males,2019,13417
Annual,Maltese Islands,70 - 74 years,Males,2020,13609
Annual,Maltese Islands,70 - 74 years,Males,2021,13449
Annual,Maltese Islands,70 - 74 years,Males,2022,13253
Annual,Maltese Islands,70 - 74 years,Males,2023,13022
Annual,Maltese Islands,15 - 64 years,Males,2018,176345
Annual,Maltese Islands,15 - 64 years,Males,2019,188545
Annual,Maltese Islands,15 - 64 years,Males,2020,188502
Annual,Maltese Islands,15 - 64 years,Males,2021,190048
Annual,Maltese Islands,15 - 64 years,Males,2022,202442
Annual,Maltese Islands,15 - 64 years,Males,2023,214812
Annual,Maltese Islands,50 - 54 years,Females,2018,13728
Annual,Maltese Islands,50 - 54 years,Females,2019,13788
Annual,Maltese Islands,50 - 54 years,Females,2020,13812
Annual,Maltese Islands,50 - 54 years,Females,2021,14166
Annual,Maltese Islands,50 - 54 years,Females,2022,14718
Annual,Maltese Islands,50 - 54 years,Females,2023,15205
Annual,Maltese Islands,90 - 94 years,Males,2018,716
Annual,Maltese Islands,90 - 94 years,Males,2019,720
Annual,Maltese Islands,90 - 94 years,Males,2020,741
Annual,Maltese Islands,90 - 94 years,Males,2021,797
Annual,Maltese Islands,90 - 94 years,Males,2022,821
Annual,Maltese Islands,90 - 94 years,Males,2023,870
Annual,Maltese Islands,5 - 9 years,Total,2018,22552
Annual,Maltese Islands,5 - 9 years,Total,2019,22934
Annual,Maltese Islands,5 - 9 years,Total,2020,23083
Annual,Maltese Islands,5 - 9 years,Total,2021,23032
Annual,Maltese Islands,5 - 9 years,Total,2022,23281
Annual,Maltese Islands,5 - 9 years,Total,2023,23766
Annual,Maltese Islands,25 - 29 years,Males,2018,22098
Annual,Maltese Islands,25 - 29 years,Males,2019,24317
Annual,Maltese Islands,25 - 29 years,Males,2020,23993
Annual,Maltese Islands,25 - 29 years,Males,2021,23957
Annual,Maltese Islands,25 - 29 years,Males,2022,26800
Annual,Maltese Islands,25 - 29 years,Males,2023,29844
Annual,Maltese Islands,40 - 44 years,Total,2018,36106
Annual,Maltese Islands,40 - 44 years,Total,2019,38868
Annual,Maltese Islands,40 - 44 years,Total,2020,39723
Annual,Maltese Islands,40 - 44 years,Total,2021,40440
Annual,Maltese Islands,40 - 44 years,Total,2022,43183
Annual,Maltese Islands,40 - 44 years,Total,2023,45652
Annual,Maltese Islands,45 - 49 years,Males,2018,15863
Annual,Maltese Islands,45 - 49 years,Males,2019,17429
Annual,Maltese Islands,45 - 49 years,Males,2020,18220
Annual,Maltese Islands,45 - 49 years,Males,2021,18893
Annual,Maltese Islands,45 - 49 years,Males,2022,20116
Annual,Maltese Islands,45 - 49 years,Males,2023,21307
Annual,Maltese Islands,65 - 69 years,Females,2018,14328
Annual,Maltese Islands,65 - 69 years,Females,2019,14253
Annual,Maltese Islands,65 - 69 years,Females,2020,14100
Annual,Maltese Islands,65 - 69 years,Females,2021,14288
Annual,Maltese Islands,65 - 69 years,Females,2022,14579
Annual,Maltese Islands,65 - 69 years,Females,2023,14825
Annual,Maltese Islands,80 - 84 years,Total,2018,11354
Annual,Maltese Islands,80 - 84 years,Total,2019,11670
Annual,Maltese Islands,80 - 84 years,Total,2020,11570
Annual,Maltese Islands,80 - 84 years,Total,2021,11193
Annual,Maltese Islands,80 - 84 years,Total,2022,10769
Annual,Maltese Islands,80 - 84 years,Total,2023,11261
Annual,Malta,5 - 9 years,Females,2018,10178
Annual,Malta,5 - 9 years,Females,2019,10239
Annual,Malta,5 - 9 years,Females,2020,10271
Annual,Malta,5 - 9 years,Females,2021,10138
Annual,Malta,5 - 9 years,Females,2022,10278
Annual,Malta,5 - 9 years,Females,2023,10550
Annual,Malta,45 - 49 years,Males,2018,14746
Annual,Malta,45 - 49 years,Males,2019,16169
Annual,Malta,45 - 49 years,Males,2020,16917
Annual,Malta,45 - 49 years,Males,2021,17531
Annual,Malta,45 - 49 years,Males,2022,18728
Annual,Malta,45 - 49 years,Males,2023,19906
Annual,Malta,60 - 64 years,Total,2018,28020
Annual,Malta,60 - 64 years,Total,2019,28427
Annual,Malta,60 - 64 years,Total,2020,28544
Annual,Malta,60 - 64 years,Total,2021,28294
Annual,Malta,60 - 64 years,Total,2022,28219
Annual,Malta,60 - 64 years,Total,2023,27864
Annual,Malta,80 - 84 years,Females,2018,6050
Annual,Malta,80 - 84 years,Females,2019,6198
Annual,Malta,80 - 84 years,Females,2020,6158
Annual,Malta,80 - 84 years,Females,2021,5996
Annual,Malta,80 - 84 years,Females,2022,5691
Annual,Malta,80 - 84 years,Females,2023,5886
Annual,Gozo,0 - 14 years,Total,2018,4675
Annual,Gozo,0 - 14 years,Total,2019,4835
Annual,Gozo,0 - 14 years,Total,2020,4937
Annual,Gozo,0 - 14 years,Total,2021,5009
Annual,Gozo,0 - 14 years,Total,2022,5088
Annual,Gozo,0 - 14 years,Total,2023,5101
Annual,Gozo,0 - 4 years,Males,2018,789
Annual,Gozo,0 - 4 years,Males,2019,828
Annual,Gozo,0 - 4 years,Males,2020,827
Annual,Gozo,0 - 4 years,Males,2021,762
Annual,Gozo,0 - 4 years,Males,2022,798
Annual,Gozo,0 - 4 years,Males,2023,823
Annual,Gozo,20 - 24 years,Females,2018,1035
Annual,Gozo,20 - 24 years,Females,2019,1067
Annual,Gozo,20 - 24 years,Females,2020,1075
Annual,Gozo,20 - 24 years,Females,2021,1044
Annual,Gozo,20 - 24 years,Females,2022,1026
Annual,Gozo,20 - 24 years,Females,2023,1006
Annual,Gozo,70 - 74 years,Total,2018,2391
Annual,Gozo,70 - 74 years,Total,2019,2437
Annual,Gozo,70 - 74 years,Total,2020,2416
Annual,Gozo,70 - 74 years,Total,2021,2406
Annual,Gozo,70 - 74 years,Total,2022,2378
Annual,Gozo,70 - 74 years,Total,2023,2347
Annual,Gozo,75 - 79 years,Males,2018,565
Annual,Gozo,75 - 79 years,Males,2019,667
Annual,Gozo,75 - 79 years,Males,2020,719
Annual,Gozo,75 - 79 years,Males,2021,836
Annual,Gozo,75 - 79 years,Males,2022,933
Annual,Gozo,75 - 79 years,Males,2023,1010
Annual,Gozo,100 years and over,Females,2018,2
Annual,Gozo,100 years and over,Females,2019,3
Annual,Gozo,100 years and over,Females,2020,3
Annual,Gozo,100 years and over,Females,2021,0
Annual,Gozo,100 years and over,Females,2022,1
Annual,Gozo,100 years and over,Females,2023,4
Annual,Maltese Islands,0 - 14 years,Females,2018,32169
Annual,Maltese Islands,0 - 14 years,Females,2019,32748
Annual,Maltese Islands,0 - 14 years,Females,2020,32700
Annual,Maltese Islands,0 - 14 years,Females,2021,32679
Annual,Maltese Islands,0 - 14 years,Females,2022,33298
Annual,Maltese Islands,0 - 14 years,Females,2023,33598
Annual,Maltese Islands,15 - 19 years,Females,2018,11045
Annual,Maltese Islands,15 - 19 years,Females,2019,11027
Annual,Maltese Islands,15 - 19 years,Females,2020,10503
Annual,Maltese Islands,15 - 19 years,Females,2021,10503
Annual,Maltese Islands,15 - 19 years,Females,2022,10690
Annual,Maltese Islands,15 - 19 years,Females,2023,10750
Annual,Maltese Islands,25 - 29 years,Total,2018,41939
Annual,Maltese Islands,25 - 29 years,Total,2019,44773
Annual,Maltese Islands,25 - 29 years,Total,2020,43550
Annual,Maltese Islands,25 - 29 years,Total,2021,42987
Annual,Maltese Islands,25 - 29 years,Total,2022,46662
Annual,Maltese Islands,25 - 29 years,Total,2023,50672
Annual,Maltese Islands,30 - 34 years,Total,2018,42644
Annual,Maltese Islands,30 - 34 years,Total,2019,46992
Annual,Maltese Islands,30 - 34 years,Total,2020,47715
Annual,Maltese Islands,30 - 34 years,Total,2021,48553
Annual,Maltese Islands,30 - 34 years,Total,2022,52843
Annual,Maltese Islands,30 - 34 years,Total,2023,56779
Annual,Maltese Islands,35 - 39 years,Males,2018,21156
Annual,Maltese Islands,35 - 39 years,Males,2019,23420
Annual,Maltese Islands,35 - 39 years,Males,2020,23908
Annual,Maltese Islands,35 - 39 years,Males,2021,24630
Annual,Maltese Islands,35 - 39 years,Males,2022,26810
Annual,Maltese Islands,35 - 39 years,Males,2023,29238
Annual,Maltese Islands,90 - 94 years,Females,2018,1550
Annual,Maltese Islands,90 - 94 years,Females,2019,1621
Annual,Maltese Islands,90 - 94 years,Females,2020,1687
Annual,Maltese Islands,90 - 94 years,Females,2021,1802
Annual,Maltese Islands,90 - 94 years,Females,2022,1924
Annual,Maltese Islands,90 - 94 years,Females,2023,2077
Annual,Maltese Islands,Total,Males,2018,252181
Annual,Maltese Islands,Total,Males,2019,266559
Annual,Maltese Islands,Total,Males,2020,267614
Annual,Maltese Islands,Total,Males,2021,270469
Annual,Maltese Islands,Total,Males,2022,284821
Annual,Maltese Islands,Total,Males,2023,298746
Annual,Maltese Islands,10 - 14 years,Total,2018,21483
Annual,Maltese Islands,10 - 14 years,Total,2019,22073
Annual,Maltese Islands,10 - 14 years,Total,2020,22150
Annual,Maltese Islands,10 - 14 years,Total,2021,22577
Annual,Maltese Islands,10 - 14 years,Total,2022,23187
Annual,Maltese Islands,10 - 14 years,Total,2023,23293
Annual,Maltese Islands,60 - 64 years,Total,2018,30603
Annual,Maltese Islands,60 - 64 years,Total,2019,31149
Annual,Maltese Islands,60 - 64 years,Total,2020,31351
Annual,Maltese Islands,60 - 64 years,Total,2021,31213
Annual,Maltese Islands,60 - 64 years,Total,2022,31150
Annual,Maltese Islands,60 - 64 years,Total,2023,30773
Annual,Maltese Islands,65 years and over,Total,2018,90466
Annual,Maltese Islands,65 years and over,Total,2019,93160
Annual,Maltese Islands,65 years and over,Total,2020,95266
Annual,Maltese Islands,65 years and over,Total,2021,97859
Annual,Maltese Islands,65 years and over,Total,2022,100750
Annual,Maltese Islands,65 years and over,Total,2023,103406
Annual,Maltese Islands,65 years and over,Males,2018,41308
Annual,Maltese Islands,65 years and over,Males,2019,42732
Annual,Maltese Islands,65 years and over,Males,2020,43867
Annual,Maltese Islands,65 years and over,Males,2021,45250
Annual,Maltese Islands,65 years and over,Males,2022,46695
Annual,Maltese Islands,65 years and over,Males,2023,48050
Annual,Malta,10 - 14 years,Females,2018,9544
Annual,Malta,10 - 14 years,Females,2019,9823
Annual,Malta,10 - 14 years,Females,2020,9884
Annual,Malta,10 - 14 years,Females,2021,10116
Annual,Malta,10 - 14 years,Females,2022,10420
Annual,Malta,10 - 14 years,Females,2023,10428
Annual,Malta,25 - 29 years,Males,2018,20739
Annual,Malta,25 - 29 years,Males,2019,22796
Annual,Malta,25 - 29 years,Males,2020,22435
Annual,Malta,25 - 29 years,Males,2021,22348
Annual,Malta,25 - 29 years,Males,2022,25056
Annual,Malta,25 - 29 years,Males,2023,28084
Annual,Malta,40 - 44 years,Total,2018,33894
Annual,Malta,40 - 44 years,Total,2019,36497
Annual,Malta,40 - 44 years,Total,2020,37254
Annual,Malta,40 - 44 years,Total,2021,37883
Annual,Malta,40 - 44 years,Total,2022,40464
Annual,Malta,40 - 44 years,Total,2023,42787
Annual,Malta,100 years and over,Females,2018,38
Annual,Malta,100 years and over,Females,2019,53
Annual,Malta,100 years and over,Females,2020,52
Annual,Malta,100 years and over,Females,2021,52
Annual,Malta,100 years and over,Females,2022,50
Annual,Malta,100 years and over,Females,2023,55
Annual,Gozo,0 - 4 years,Females,2018,748
Annual,Gozo,0 - 4 years,Females,2019,787
Annual,Gozo,0 - 4 years,Females,2020,823
Annual,Gozo,0 - 4 years,Females,2021,790
Annual,Gozo,0 - 4 years,Females,2022,802
Annual,Gozo,0 - 4 years,Females,2023,795
Annual,Gozo,5 - 9 years,Males,2018,795
Annual,Gozo,5 - 9 years,Males,2019,829
Annual,Gozo,5 - 9 years,Males,2020,871
Annual,Gozo,5 - 9 years,Males,2021,923
Annual,Gozo,5 - 9 years,Males,2022,892
Annual,Gozo,5 - 9 years,Males,2023,851
Annual,Gozo,5 - 9 years,Females,2018,766
Annual,Gozo,5 - 9 years,Females,2019,782
Annual,Gozo,5 - 9 years,Females,2020,808
Annual,Gozo,5 - 9 years,Females,2021,857
Annual,Gozo,5 - 9 years,Females,2022,841
Annual,Gozo,5 - 9 years,Females,2023,869
Annual,Gozo,90 - 94 years,Total,2018,233
Annual,Gozo,90 - 94 years,Total,2019,243
Annual,Gozo,90 - 94 years,Total,2020,250
Annual,Gozo,90 - 94 years,Total,2021,253
Annual,Gozo,90 - 94 years,Total,2022,255
Annual,Gozo,90 - 94 years,Total,2023,283
Annual,Gozo,95 - 99 years,Total,2018,40
Annual,Gozo,95 - 99 years,Total,2019,49
Annual,Gozo,95 - 99 years,Total,2020,56
Annual,Gozo,95 - 99 years,Total,2021,60
Annual,Gozo,95 - 99 years,Total,2022,69
Annual,Gozo,95 - 99 years,Total,2023,59
Annual,Gozo,100 years and over,Males,2018,1
Annual,Gozo,100 years and over,Males,2019,0
Annual,Gozo,100 years and over,Males,2020,0
Annual,Gozo,100 years and over,Males,2021,0
Annual,Gozo,100 years and over,Males,2022,1
Annual,Gozo,100 years and over,Males,2023,1
Annual,Maltese Islands,0 - 14 years,Total,2018,66697
Annual,Maltese Islands,0 - 14 years,Total,2019,68030
Annual,Maltese Islands,0 - 14 years,Total,2020,67945
Annual,Maltese Islands,0 - 14 years,Total,2021,67850
Annual,Maltese Islands,0 - 14 years,Total,2022,68982
Annual,Maltese Islands,0 - 14 years,Total,2023,69482
Annual,Maltese Islands,0 - 4 years,Males,2018,11746
Annual,Maltese Islands,0 - 4 years,Males,2019,11902
Annual,Maltese Islands,0 - 4 years,Males,2020,11757
Annual,Maltese Islands,0 - 4 years,Males,2021,11484
Annual,Maltese Islands,0 - 4 years,Males,2022,11607
Annual,Maltese Islands,0 - 4 years,Males,2023,11529
Annual,Maltese Islands,55 - 59 years,Females,2018,15301
Annual,Maltese Islands,55 - 59 years,Females,2019,15072
Annual,Maltese Islands,55 - 59 years,Females,2020,14604
Annual,Maltese Islands,55 - 59 years,Females,2021,14186
Annual,Maltese Islands,55 - 59 years,Females,2022,13897
Annual,Maltese Islands,55 - 59 years,Females,2023,13892
Annual,Maltese Islands,85 - 89 years,Total,2018,6170
Annual,Maltese Islands,85 - 89 years,Total,2019,6428
Annual,Maltese Islands,85 - 89 years,Total,2020,6725
Annual,Maltese Islands,85 - 89 years,Total,2021,6986
Annual,Maltese Islands,85 - 89 years,Total,2022,7243
Annual,Maltese Islands,85 - 89 years,Total,2023,7490
Annual,Maltese Islands,90 - 94 years,Total,2018,2266
Annual,Maltese Islands,90 - 94 years,Total,2019,2341
Annual,Maltese Islands,90 - 94 years,Total,2020,2428
Annual,Maltese Islands,90 - 94 years,Total,2021,2599
Annual,Maltese Islands,90 - 94 years,Total,2022,2745
Annual,Maltese Islands,90 - 94 years,Total,2023,2947
Annual,Maltese Islands,95 - 99 years,Males,2018,92
Annual,Maltese Islands,95 - 99 years,Males,2019,110
Annual,Maltese Islands,95 - 99 years,Males,2020,129
